i,seed_i,m,c1,c2,c3,c4,c5,c6,loglik,penalty,penlik,truelik,truepen,truepenlike
43,42543,4,9.384082241011223,22.466433491433804,47.10532775464674,61.25471024817187,0,0,622.4913366651655,42.59966808352639,665.0910047486918,622.3507771460423,42.65500765430911,665.0057848003514
44,43543,4,8.890842195473187,20.207536215432675,45.2367610072961,60.55736994155102,0,0,634.1214055378792,42.58422587214822,676.7056314100274,633.9205931994609,42.65500765430911,676.57560085377
45,44543,4,6.781592894487389,20.94027987827986,45.59742350605705,58.72712689473898,0,0,602.2213353991473,42.65101809577035,644.8723534949177,603.7145857649429,42.65500765430911,646.3695934192519
46,45543,4,10.105018979430627,21.885146750190234,46.363114104086065,60.75780571089315,0,0,614.3507449064163,42.56153147525082,656.9122763816671,610.4825451881086,42.65500765430911,653.1375528424177
47,46543,4,5.902562775172217,23.432568367222785,46.72675603460616,56.25326610568909,0,0,616.9630979224761,42.59522059812846,659.5583185206045,616.3792885634479,42.65500765430911,659.034296217757
48,47543,4,7.655062753770258,22.419449433928694,45.241573796410165,57.928509894053136,0,0,627.5367998044604,42.61133664923153,670.1481364536919,627.4305923619676,42.65500765430911,670.0856000162767
49,48543,4,10.825431998189215,16.74980855968726,41.39757094231257,63.04175266696375,0,0,624.3978129990257,42.40724141603392,666.8050544150597,626.1534255077665,42.65500765430911,668.8084331620756
50,49543,4,7.871469715977042,20.537332166073742,45.55194831537702,59.94278702787254,0,0,620.9634314978603,42.628983125752086,663.5924146236123,621.2781913495231,42.65500765430911,663.9331990038322
51,50543,4,7.676022557964429,20.798085190692262,45.508120079267044,60.72668085367198,0,0,620.4346466888584,42.64591538272847,663.0805620715869,619.7523455767368,42.65500765430911,662.4073532310459
52,51543,4,7.394993360577398,21.754080047171456,43.47689977910063,59.06814956352285,0,0,625.9106959258854,42.66872214182473,668.5794180677101,623.8335848923023,42.65500765430911,666.4885925466114
53,52543,4,10.609131794153637,21.170189665367413,43.83907598419657,60.663324636820306,0,0,637.0076213111369,42.550095871012566,679.5577171821494,634.238860564635,42.65500765430911,676.8938682189441
54,53543,4,6.570808817661538,21.829797743099487,47.31587679105339,62.28760333047962,0,0,611.1738849927132,42.719004333664735,653.8928893263779,611.3221352722747,42.65500765430911,653.9771429265838
55,54543,4,7.526651451610878,20.056050729248245,40.975858067285074,59.98492972330804,0,0,639.4713033859633,42.66800187247529,682.1393052584386,637.0325636247992,42.65500765430911,679.6875712791083
56,55543,4,9.652406217366266,23.104941659895662,46.5087214400749,61.70596438552907,0,0,636.3684418324909,42.61764588121114,678.9860877137021,635.9190306538637,42.65500765430911,678.5740383081728
57,56543,4,9.015718409039554,21.480194566715355,43.48135361800923,66.07670463234359,0,0,610.0014679966114,42.692865088079124,652.6943330846905,603.2799428700673,42.65500765430911,645.9349505243764
58,57543,4,8.096276891645235,22.15137935918409,45.43196289921025,59.50505807268168,0,0,622.4605305018753,42.63133324479083,665.0918637466661,623.4219956383355,42.65500765430911,666.0770032926446
59,58543,4,6.829655763042654,21.331290929622792,43.33013759275907,60.87317605744373,0,0,628.9284754638076,42.70903346841219,671.6375089322197,627.0475702856402,42.65500765430911,669.7025779399493
60,59543,4,10.188769692756352,19.22177226475065,44.24833997093785,62.439781155703926,0,0,625.7594152231329,42.53027064550267,668.2896858686356,624.5719857666558,42.65500765430911,667.2269934209648
61,60543,4,8.512618438318182,20.374325446188312,44.02777754406165,60.34591300577762,0,0,647.0073029417248,42.61496601497313,689.6222689566979,646.3976265140368,42.65500765430911,689.0526341683459
62,61543,4,8.21166364871329,19.777922670233433,40.674106108946134,63.304448923105156,0,0,636.0616829189886,42.67104332778362,678.7327262467722,638.5331689160531,42.65500765430911,681.1881765703622
63,62543,4,6.234829823678256,22.57734927981104,43.68468931618558,59.06531610842179,0,0,628.4154497411537,42.714878541957404,671.1303282831111,626.8708083364462,42.65500765430911,669.5258159907553
64,63543,4,9.772472986942933,21.01668821936278,47.962683025064905,57.47057787940076,0,0,639.7048509410172,42.42739844662067,682.1322493876379,637.8756480993045,42.65500765430911,680.5306557536136
65,64543,4,8.963948610901483,20.474131197408276,43.826482249621094,60.745981788705095,0,0,635.1682387949942,42.604392945125014,677.7726317401192,630.8664074858112,42.65500765430911,673.5214151401203
66,65543,4,6.612642031565382,19.912592476412147,45.72761642399757,59.33051036524329,0,0,623.7161218242504,42.64156541097087,666.3576872352213,624.2743498505936,42.65500765430911,666.9293575049027
67,66543,4,7.010425774945299,20.891594518103215,42.37766752539611,59.863641937532144,0,0,621.7289266256694,42.695703317081524,664.4246299427509,624.1560984714449,42.65500765430911,666.811106125754
68,67543,4,10.81089395019906,19.15183561034848,43.77527165670563,62.14323449627901,0,0,625.5434127635076,42.50430152167726,668.0477142851848,627.4524755889934,42.65500765430911,670.1074832433025
69,68543,4,7.9451024228826626,19.901022205539928,44.23425213061843,57.85227805261032,0,0,646.2014150684125,42.58439947991216,688.7858145483247,644.0185224877077,42.65500765430911,686.6735301420168
70,69543,4,7.172162663513589,22.79739929700129,43.00827021640816,58.10791395425985,0,0,628.0417225393395,42.66833619043544,670.7100587297749,626.4696123779349,42.65500765430911,669.124620032244
71,70543,4,8.36407133593945,20.45783072321894,44.03930669665884,60.911502364126335,0,0,648.6147048322827,42.63888938086849,691.2535942131511,647.5240809233983,42.65500765430911,690.1790885777074
